date,time,amp1,amp2,amp3,v1,v2,v3
01.11.22,01:00:02,0.12,0.14,0.09,0.00,0.05,0.01
01.11.22,02:00:01,0.13,0.14,0.10,0.00,0.04,0.01
01.11.22,03:00:01,0.13,0.14,0.10,0.00,0.05,0.01
01.11.22,04:00:02,0.13,0.15,0.10,0.00,0.05,0.01
01.11.22,05:00:01,0.14,0.15,0.11,0.00,0.06,0.00
01.11.22,06:00:01,0.13,0.15,0.11,0.00,0.09,0.00
01.11.22,07:00:01,0.14,0.14,0.11,11.39,11.80,9.31
01.11.22,08:00:01,0.12,0.07,0.11,26.74,19.59,15.62
01.11.22,09:00:01,0.06,0.54,0.11,27.10,27.57,21.46
01.11.22,10:00:01,0.00,1.13,0.11,27.91,30.17,22.80
01.11.22,11:00:01,0.09,1.47,0.11,27.15,36.52,28.64
01.11.22,12:00:01,0.24,0.99,0.11,27.60,39.89,32.19
01.11.22,13:00:01,0.27,0.94,0.10,28.09,39.07,31.01
01.11.22,14:00:01,0.24,0.87,0.10,26.75,39.15,30.46
01.11.22,15:00:01,0.15,0.82,0.09,27.65,39.31,30.51
01.11.22,16:00:01,0.03,0.72,0.08,26.94,36.50,28.19
01.11.22,17:00:01,0.11,0.00,0.10,24.92,28.43,18.85
01.11.22,18:00:01,0.13,0.13,0.10,2.35,4.89,2.13
01.11.22,19:00:01,0.13,0.14,0.10,0.00,0.16,0.00
01.11.22,20:00:02,0.13,0.14,0.10,0.00,0.14,0.00
01.11.22,21:00:01,0.13,0.14,0.10,0.00,0.11,0.00
01.11.22,22:00:01,0.13,0.14,0.10,0.00,0.08,0.00
01.11.22,23:00:01,0.14,0.15,0.11,0.00,0.07,0.00
02.11.22,00:00:01,0.14,0.15,0.11,0.00,0.08,0.00
02.11.22,01:00:01,0.14,0.15,0.11,0.00,0.08,0.00
02.11.22,02:00:01,0.14,0.15,0.11,0.00,0.09,0.00
02.11.22,03:00:01,0.14,0.16,0.11,0.00,0.10,0.00
02.11.22,04:00:01,0.14,0.16,0.12,0.00,0.09,0.00
02.11.22,05:00:01,0.15,0.16,0.12,0.00,0.09,0.00
02.11.22,06:00:01,0.14,0.16,0.12,0.01,0.12,0.00
02.11.22,07:00:01,0.14,0.16,0.12,10.64,10.73,6.55
02.11.22,09:00:01,0.09,0.30,0.12,27.03,25.24,19.38
02.11.22,10:00:01,0.06,1.50,0.12,26.48,34.35,28.17
02.11.22,11:00:01,0.25,1.16,0.11,25.91,40.05,33.38
02.11.22,12:00:01,0.39,0.93,0.11,25.43,39.23,32.15
02.11.22,13:00:01,0.47,0.87,0.10,28.88,38.86,31.57
02.11.22,14:00:01,0.70,0.83,0.10,31.52,38.69,31.25
02.11.22,15:00:01,1.30,0.80,0.09,35.23,38.83,31.37
02.11.22,16:00:01,0.62,0.71,0.08,29.63,36.19,28.85
02.11.22,17:00:01,0.03,0.02,0.08,26.46,28.50,21.40
02.11.22,18:00:01,0.10,0.11,0.07,4.29,4.94,2.94
02.11.22,19:00:01,0.10,0.11,0.07,0.16,0.20,0.00
02.11.22,20:00:02,0.09,0.11,0.07,0.17,0.21,0.00
02.11.22,21:00:01,0.09,0.11,0.07,0.15,0.21,0.00
02.11.22,22:00:01,0.09,0.11,0.07,0.07,0.18,0.00
02.11.22,23:00:01,0.09,0.11,0.06,0.05,0.14,0.00
03.11.22,00:00:01,0.09,0.10,0.06,0.00,0.06,0.00
03.11.22,01:00:01,0.09,0.10,0.06,0.25,0.22,0.00
03.11.22,02:00:01,0.09,0.10,0.06,0.14,0.15,0.00
03.11.22,03:00:01,0.09,0.10,0.06,0.00,0.05,0.00
03.11.22,04:00:01,0.09,0.10,0.06,0.00,0.06,0.00
03.11.22,05:00:01,0.09,0.10,0.06,0.33,0.28,0.00
03.11.22,06:00:01,0.09,0.10,0.06,0.58,0.46,0.00
